B2	找B2检票口
B22口	找B22检票口
检票口b17	找B17检票口
出发平台	找出发平台
a9	找A9检票口
检票口a13	找A13检票口
19号出口	找19号到达口
b6号口	找B6检票口
南,12号桥	找南12桥柱
B4	找B4检票口
轻轨,地名1	坐城轨
检票口d25	找D25检票口
南14桥	找南14桥柱
b10号口	找B10检票口
检票口B28	找B28检票口
b5号口	找B5检票口
检票口b14	找B14检票口
A14口	找A14检票口
检票口a12	找A12检票口
1号出口	找1号到达口
充电宝	借充电宝
检票口A6	找A6检票口
高铁	坐车
检票口b9	找B9检票口
地名,换乘	坐车
l出口	找L口
C26号口	找C26检票口
A16检票口	找A16检票口
a15号口	找A15检票口
a21	找A21检票口
地名,过来,高铁,到达口	找到达口
A28号口	找A28检票口
北,11号桥	找北11桥柱
南9桥洞	找南9桥柱
高铁快递	找高铁快递
A24	找A24检票口
1号口	找1号到达口
检票口A22	找A22检票口
退票,怎么退	人工窗口
检票口D25	找D25检票口
动车,坐车	坐车
到达口15	找15号到达口
A9	找A9检票口
检票口b9	找B9检票口
南2洞口	找南2桥柱
出口10	找10号到达口
A18号口	找A18检票口
d24检票口	找D24检票口
19号到达口	找19号到达口
D22号口	找D22检票口
出发厅	找出发平台
a28检票口	找A28检票口
打车	打车
到达口24	找24号到达口
D21	找D21检票口
b28口	找B28检票口
北,8号桥	找北8桥柱
C24口	找C24检票口
进站	坐车
B4口	找B4检票口
北9洞口	找北9桥柱
北边的出站口	找北出站口
c27检票口	找C27检票口
21号出口	找21号到达口
车,出站口	找到达口
P1停车场	找p1停车场
coffee	找咖啡店
4号出口	找4号到达口
南8桥墩	找南8桥柱
动车,出站口	找到达口
北边停车场	找北1停车场
b20口	找B20检票口
g出口	找G口
b1号口	找B1检票口
南1洞口	找南1桥柱
f入口	找F口
1号口	找1号到达口
乘车	坐车
b4	找B4检票口
南7桥柱	找南7桥柱
23号出口	找23号到达口
A11	找A11检票口
北8柱	找北8桥柱
10出口	找10号到达口
7线地铁	坐地铁
a2口	找A2检票口
J入口	找J口
到达口11	找11号到达口
出口23	找23号到达口
a3检票口	找A3检票口
地名1,候车厅	坐城轨
1号出口	找1号到达口
西出发平台	找西出发平台
D21号口	找D21检票口
A3号口	找A3检票口
入台证	人工窗口
出口12	找12号到达口
检票口b27	找B27检票口
西边,出发平台	找西出发平台
a10检票口	找A10检票口
南7桥	找南7桥柱
检票口B6	找B6检票口
a15检票口	找A15检票口
A25口	找A25检票口
出发平台	找出发平台
7进站口	找7号进站口
p7停车场	找p7停车场
南站北路	找南站北路
东南区	找东南区
B17检票口	找B17检票口
地名,买票	买票
D28检票口	找D28检票口
B21口	找B21检票口
出口3	找3号到达口
北,12号桥	找北12桥柱
25号口	找25号到达口
a24	找A24检票口
南出口	找南门
P10	找p10停车场
a13检票口	找A13检票口
B18号口	找B18检票口
北8洞口	找北8桥柱
去哪,买票	买票
吃,吃饭	用餐
南12桥柱	找南12桥柱
a10口	找A10检票口
南6	找南6桥柱
c25号口	找C25检票口
北9	找北9桥柱
西面,出发平台	找西出发平台
共享车	找p1停车场
南12桥墩	找南12桥柱
A26检票口	找A26检票口
东面,出发平台	找东出发平台
南4桥洞	找南4桥柱
d28	找D28检票口
密码忘记了	找处理12306账户
a3	找A3检票口
14号到达口	找14号到达口
e入口	找E口
南8桥	找南8桥柱
吃,吃的	用餐
5号到达口	找5号到达口
南站南路	找南站南路
A8	找A8检票口
北10柱	找北10桥柱
f口	找F口
B1	找B1检票口
a6号口	找A6检票口
进站	坐车
南12桥	找南12桥柱
A14口	找A14检票口
北2桥洞	找北2桥柱
检票口a27	找A27检票口
南10桥墩	找南10桥柱
c26口	找C26检票口
b5号口	找B5检票口
17号口	找17号到达口
J出口	找J口
南12桥	找南12桥柱
东面,出发平台	找东出发平台
地名1,候车厅	坐城轨
长途,汽车站	坐大巴
24号口	找24号到达口
轻轨,到达口	找到达口
18号口	找18号到达口
c20口	找C20检票口
麦当劳	找麦当劳
行李寄存	找行李寄存处
B27号口	找B27检票口
打车	打车
东门的进站口	找东进站口
到达	找到达口
南,2号桥	找南2桥柱
a8号口	找A8检票口
D26口	找D26检票口
南7	找南7桥柱
A5	找A5检票口
南12桥洞	找南12桥柱
h出口	找H口
地名,过来,高铁,到达口	找到达口
a16号口	找A16检票口
北在哪里	找北边
b22口	找B22检票口
p6停车场	找p6停车场
6号进站口	找6号进站口
南,11号桥	找南11桥柱
28号到达口	找28号到达口
D22	找D22检票口
a5	找A5检票口
P6	找p6停车场
A8号口	找A8检票口
b20号口	找B20检票口
南13	找南13桥柱
D27号口	找D27检票口
检票口A26	找A26检票口
检票口D25	找D25检票口
身份证核验	找处理12306账户
A15检票口	找A15检票口
B16	找B16检票口
哪个口	找到达口
B4检票口	找B4检票口
南12柱	找南12桥柱
24出口	找24号到达口
17号口	找17号到达口
到3楼	坐车
南13桥	找南13桥柱
护照报验	找处理12306账户
检票口a8	找A8检票口
报验证件	找处理12306账户
p8停车场	找p8停车场
北面的进站口	找北进站口
检票口b21	找B21检票口
7号口	找7号到达口
北,8号桥	找北8桥柱
检票口B10	找B10检票口
进站口5	找5号进站口
进站口	坐车
北11	找北11桥柱
metro	坐地铁
接客区	找p3停车场
西出口,出发厅	找西出发平台
卫生间	找卫生间
A28检票口	找A28检票口
a7口	找A7检票口
b16号口	找B16检票口
11号口	找11号到达口
检票口a6	找A6检票口
d26口	找D26检票口
p4停车场	找p4停车场
北8洞口	找北8桥柱
北6桥柱	找北6桥柱
A25	找A25检票口
e出口	找E口
南侧进站口	找南进站口
15号口	找15号到达口
南14桥洞	找南14桥柱
a16检票口	找A16检票口
B16口	找B16检票口
南14桥墩	找南14桥柱
到达口7	找7号到达口
回乡证	人工窗口
检票口a14	找A14检票口
B10号口	找B10检票口
公交车	坐公交
D21号口	找D21检票口
南进站口	找南进站口
a21号口	找A21检票口
出站口4	找4号出站口
检票口a21	找A21检票口
出站口5	找5号出站口
B12检票口	找B12检票口
2号口	找2号到达口
A25号口	找A25检票口
D22号口	找D22检票口
到达口16	找16号到达口
检票口b24	找B24检票口
B14	找B14检票口
A26	找A26检票口
21号口	找21号到达口
北5桥墩	找北5桥柱
南在哪个方向	找南边
B22口	找B22检票口
4号出站口	找4号出站口
b16号口	找B16检票口
A11口	找A11检票口
B14	找B14检票口
a5口	找A5检票口
到达口26	找26号到达口
北13桥柱	找北13桥柱
2号地铁	坐地铁
b20	找B20检票口
ATM	找ATM机
B19口	找B19检票口
南5桥洞	找南5桥柱
a7	找A7检票口
B19	找B19检票口
7号口	找7号到达口
停车场	找停车场
P4	找p4停车场
B16	找B16检票口
B14检票口	找B14检票口
a15口	找A15检票口
a21检票口	找A21检票口
24出口	找24号到达口
B13	找B13检票口
a21	找A21检票口
到3楼	坐车
B2口	找B2检票口
南4柱	找南4桥柱
subway	坐地铁
C24检票口	找C24检票口
a6检票口	找A6检票口
5号出站口	找5号出站口
护照核验	找处理12306账户
b2口	找B2检票口
a27口	找A27检票口
出发层	坐车
南5洞口	找南5桥柱
北6桥墩	找北6桥柱
A11口	找A11检票口
进站	坐车
ATM机	找ATM机
b24	找B24检票口
d24检票口	找D24检票口
检票口b23	找B23检票口
坐高铁	坐车
北入口	找北门
10号到达口	找10号到达口
南,7号桥	找南7桥柱
到达口11	找11号到达口
检票口A20	找A20检票口
改签	找改签处
27号口	找27号到达口
南6桥柱	找南6桥柱
身份证明	办临时身份证
检票口A7	找A7检票口
买高铁票	人工窗口
A18	找A18检票口
南1	找南1桥柱
c21口	找C21检票口
d23口	找D23检票口
d24检票口	找D24检票口
b20	找B20检票口
检票口c26	找C26检票口
A23号口	找A23检票口
南10桥洞	找南10桥柱
出发厅	找出发平台
南5	找南5桥柱
南7桥柱	找南7桥柱
南10桥洞	找南10桥柱
网约车	找p1停车场
动车票	人工窗口
A8	找A8检票口
出口22	找22号到达口
北在哪里	找北边
b16口	找B16检票口
8号口	找8号到达口
185服务台	找185服务台
行李寄存处	找行李寄存处
北5桥柱	找北5桥柱
地名1,候车厅	坐城轨
地名1	坐城轨
地名,过来,高铁,到达口	找到达口
南2柱	找南2桥柱
B18号口	找B18检票口
出发平台	找出发平台
16号出口	找16号到达口
B25号口	找B25检票口
B22号口	找B22检票口
公交	坐公交
检票口A20	找A20检票口
9号出口	找9号到达口
南10桥	找南10桥柱
南在哪个方向	找南边
肯德基	找肯德基
B15号口	找B15检票口
检票口d22	找D22检票口
北14桥	找北14桥柱
检票口c25	找C25检票口
b15号口	找B15检票口
P2	找p2停车场
10号出口	找10号到达口
22号口	找22号到达口
检票口A13	找A13检票口
23号口	找23号到达口
A4检票口	找A4检票口
北12	找北12桥柱
优之选,特产店	找优之选
出口25	找25号到达口
南4桥洞	找南4桥柱
b14	找B14检票口
出口12	找12号到达口
B6口	找B6检票口
北7桥洞	找北7桥柱
K出口	找K口
改签	找改签处
d27口	找D27检票口
C23口	找C23检票口
南在哪侧	找南边
7号出口	找7号到达口
南站北路	找南站北路
出发厅	找出发平台
北14洞口	找北14桥柱
进站口8	找8号进站口
3进站口	找3号进站口
南边的出站口	找南出站口
C27号口	找C27检票口
A25检票口	找A25检票口
北10洞口	找北10桥柱
C口	找C口
爱心驿站	找爱心驿站
c22	找C22检票口
检票口B24	找B24检票口
A3检票口	找A3检票口
3号出站口	找3号出站口
a3号口	找A3检票口
吃的,就餐	用餐
检票口c26	找C26检票口
停车场	找停车场
B13	找B13检票口
P6停车场	找p6停车场
a3检票口	找A3检票口
北14桥墩	找北14桥柱
检票口B28	找B28检票口
检票口a7	找A7检票口
北14桥	找北14桥柱
3号出口	找3号到达口
b26	找B26检票口
B19号口	找B19检票口
3号到达口	找3号到达口
快餐	用餐
b13检票口	找B13检票口
A1口	找A1检票口
核验身份证	找处理12306账户
检票口c22	找C22检票口
1号进站口	找1号进站口
北5柱	找北5桥柱
7号线	坐地铁
检票口a22	找A22检票口
北6洞口	找北6桥柱
b7号口	找B7检票口
1号到达口	找1号到达口
7号地铁	坐地铁
1号口	找1号到达口
2线地铁	坐地铁
班车,出站口	找到达口
北,1号桥	找北1桥柱
出发厅	找出发平台
检票口d25	找D25检票口
B8	找B8检票口
B4号口	找B4检票口
地名,换乘	坐车
b9口	找B9检票口
进站口6	找6号进站口
P2	找p2停车场
动车,坐车	坐车
忘记带身份证	办临时身份证
检票口A2	找A2检票口
南8桥洞	找南8桥柱
检票口a19	找A19检票口
南14桥墩	找南14桥柱
A5号口	找A5检票口
C20	找C20检票口
D28口	找D28检票口
检票口D22	找D22检票口
煌上煌	找煌上煌
顺丰	找中铁快运
北1柱	找北1桥柱
优之选,特产店	找优之选
4出站口	找4号出站口
西面的爱心驿站	找西门爱心驿站
检票口A23	找A23检票口
买动车票	人工窗口
B27	找B27检票口
B18口	找B18检票口
B入口	找B口
打印车票	找自助取票机
东边的爱心驿站	找东门爱心驿站
17号口	找17号到达口
A18检票口	找A18检票口
D26	找D26检票口
护照报验	找处理12306账户
B4	找B4检票口
B19口	找B19检票口
b15号口	找B15检票口
G出口	找G口
高铁,出站	找到达口
东边进站口	找东进站口
检票口a26	找A26检票口
检票口c27	找C27检票口
北1桥墩	找北1桥柱
L入口	找L口
快餐	用餐
B9	找B9检票口
b口	找B口
买的票,取	找自助取票机
东广场	找东广场
南14桥	找南14桥柱
动车,出站口	找到达口
b21口	找B21检票口
a20号口	找A20检票口
B出口	找B口
东侧进站口	找东进站口
南5桥	找南5桥柱
8号口	找8号到达口
南6桥	找南6桥柱
b7检票口	找B7检票口
南1桥墩	找南1桥柱
11号口	找11号到达口
D20	找D20检票口
d23号口	找D23检票口
A27口	找A27检票口
东在哪边	找东边
检票口D25	找D25检票口
检票口d26	找D26检票口
13号出口	找13号到达口
出发平台	找出发平台
B11口	找B11检票口
b18号口	找B18检票口
到达口28	找28号到达口
b3号口	找B3检票口
c25	找C25检票口
认证	找处理12306账户
a11检票口	找A11检票口
b9检票口	找B9检票口
东出口,出发厅	找东出发平台
d26	找D26检票口
p5停车场	找p5停车场
b4	找B4检票口
坐高铁	坐车
东门爱心驿站	找东门爱心驿站
p5停车场	找p5停车场
a21号口	找A21检票口
南3桥	找南3桥柱
核验回乡证	找处理12306账户
A16口	找A16检票口
b8	找B8检票口
8号到达口	找8号到达口
东侧出站口	找东出站口
C22检票口	找C22检票口
d27号口	找D27检票口
北6桥墩	找北6桥柱
能否	是否类问题
d24	找D24检票口
22出口	找22号到达口
长途汽车客运站	坐大巴
人工	人工窗口
改签	找改签处
北7洞口	找北7桥柱
南14柱	找南14桥柱
D23号口	找D23检票口
A17检票口	找A17检票口
地名,买票	买票
西侧进站口	找西进站口
B6号口	找B6检票口
B1口	找B1检票口
北1洞口	找北1桥柱
7号,地铁站	坐地铁
检票口a1	找A1检票口
南7	找南7桥柱
A24口	找A24检票口
7线地铁	坐地铁
身份证,忘带,通行证,驾驶证	人工窗口
检票口B13	找B13检票口
b14号口	找B14检票口
出站口北	找北出站口
B15	找B15检票口
北3柱	找北3桥柱
b19检票口	找B19检票口
c21	找C21检票口
南4	找南4桥柱
到达口19	找19号到达口
a4口	找A4检票口
北6桥柱	找北6桥柱
吸烟	找吸烟处
B25	找B25检票口
餐饮	用餐
优之选特产店	找优之选
b28口	找B28检票口
6出口	找6号到达口
b28号口	找B28检票口
B15	找B15检票口
26号到达口	找26号到达口
17号到达口	找17号到达口
顺风车	找p1停车场
B10检票口	找B10检票口
南,8号桥	找南8桥柱
南11桥洞	找南11桥柱
南14洞口	找南14桥柱
A3口	找A3检票口
c23检票口	找C23检票口
北11柱	找北11桥柱
A12检票口	找A12检票口
哪里坐	坐车
东在哪个方向	找东边
地铁	坐地铁
a16口	找A16检票口
8号到达口	找8号到达口
P6停车场	找p6停车场
P5	找p5停车场
北12桥柱	找北12桥柱
南12柱	找南12桥柱
16号口	找16号到达口
B10	找B10检票口
检票口A8	找A8检票口
检票口A5	找A5检票口
B3口	找B3检票口
b23号口	找B23检票口
A14号口	找A14检票口
3号口	找3号到达口
D28	找D28检票口
a16号口	找A16检票口
南边的出站口	找南出站口
b22号口	找B22检票口
7号线,地铁	坐地铁
高铁,出站	找到达口
F出口	找F口
地名1,城轨,坐车	坐城轨
轻轨,地名1	坐城轨
南13	找南13桥柱
B8口	找B8检票口
7号线,地铁	坐地铁
A1号口	找A1检票口
北门出站口	找北出站口
d22号口	找D22检票口
22号出口	找22号到达口
A16	找A16检票口
A26号口	找A26检票口
高铁,哪个口	找到达口
a26口	找A26检票口
东面的进站口	找东进站口
25出口	找25号到达口
取款机	找ATM机
检票口B16	找B16检票口
d23	找D23检票口
b7检票口	找B7检票口
取不了	人工窗口
广南汽车客运站	坐大巴
南9桥	找南9桥柱
北进站口	找北进站口
D28	找D28检票口
到达口28	找28号到达口
b20检票口	找B20检票口
B28号口	找B28检票口
B1	找B1检票口
北11桥洞	找北11桥柱
B22号口	找B22检票口
检票口b4	找B4检票口
母婴	找母婴室
北进站口	找北进站口
到达口28	找28号到达口
地铁口	坐地铁
C27	找C27检票口
北侧的进站口	找北进站口
a17口	找A17检票口
北6	找北6桥柱
坐车	坐车
P4	找p4停车场
B14号口	找B14检票口
到达口17	找17号到达口
12号口	找12号到达口
问询处	找问询处
20号出口	找20号到达口
P7停车场	找p7停车场
地名,轻轨,买票	买票
25号到达口	找25号到达口
b24	找B24检票口
B21号口	找B21检票口
能否	是否类问题
长途汽车客运站	坐大巴
a20号口	找A20检票口
优之选特产店	找优之选
北侧进站口	找北进站口
a10号口	找A10检票口
动车,出站口	找到达口
南站汽车客运站	坐大巴
南12桥洞	找南12桥柱
取票	找自助取票机
北12洞口	找北12桥柱
A6号口	找A6检票口
南10桥柱	找南10桥柱
出去,西门	找西门
地名,过来,高铁,到达口	找到达口
北9桥	找北9桥柱
d28	找D28检票口
北12	找北12桥柱
北11柱	找北11桥柱
b19号口	找B19检票口
a4	找A4检票口
17号到达口	找17号到达口
蒸功夫	找蒸功夫
a20口	找A20检票口
B1检票口	找B1检票口
北停车场	找北1停车场
南3洞口	找南3桥柱
3号出口	找3号到达口
检票口C26	找C26检票口
票怎么改	找改签处
南4桥柱	找南4桥柱
北1桥洞	找北1桥柱
A4号口	找A4检票口
h入口	找H口
北2桥洞	找北2桥柱
C25检票口	找C25检票口
27出口	找27号到达口
出发层	坐车
A17	找A17检票口
A11号口	找A11检票口
南4洞口	找南4桥柱
b14号口	找B14检票口
B1号口	找B1检票口
洗手间	找卫生间
5出站口	找5号出站口
西侧的进站口	找西进站口
d25	找D25检票口
p3	找p3停车场
B16	找B16检票口
到达口19	找19号到达口
B5检票口	找B5检票口
东边进站口	找东进站口
充电	借充电宝
北边的进站口	找北进站口
28号出口	找28号到达口
检票口a24	找A24检票口
南10桥	找南10桥柱
p1	找p1停车场
检票口a5	找A5检票口
出口28	找28号到达口
地名,高铁,出站口	找到达口
东出口,出发厅	找东出发平台
汤上功夫	找汤上功夫
28号口	找28号到达口
地名1,坐车	坐城轨
subway	坐地铁
b14口	找B14检票口
北出口	找北门
c26号口	找C26检票口
检票口d28	找D28检票口
A6检票口	找A6检票口
d28检票口	找D28检票口
P5	找p5停车场
轻轨,在哪坐	坐城轨
港澳通行证	人工窗口
人工	人工窗口
580	找西门爱心驿站
北14洞口	找北14桥柱
A6	找A6检票口
A12检票口	找A12检票口
A2	找A2检票口
丢失物品	找失物招领处
b22号口	找B22检票口
B5号口	找B5检票口
检票口	坐车
A22口	找A22检票口
a12号口	找A12检票口
到达口25	找25号到达口
D26	找D26检票口
检票口B11	找B11检票口
P3停车场	找p3停车场
改签	找改签处
b14口	找B14检票口
汤上功夫	找汤上功夫
班车,出站口	找到达口
A26号口	找A26检票口
长途汽车	坐大巴
B24号口	找B24检票口
便利店	找便利店
b11口	找B11检票口
北8柱	找北8桥柱
汽车	坐大巴
b8号口	找B8检票口
检票口C21	找C21检票口
a10	找A10检票口
c21号口	找C21检票口
15号出口	找15号到达口
南12洞口	找南12桥柱
行李寄存	找行李寄存处
西面的出站口	找西出站口
乐站	找乐站便利店
12号口	找12号到达口
北14桥墩	找北14桥柱
火车票,取	找自助取票机
P5停车场	找p5停车场
南6桥	找南6桥柱
存包	找行李寄存处
地名,过来,高铁,到达口	找到达口
北8桥	找北8桥柱
取票	找自助取票机
B11检票口	找B11检票口
南站南路	找南站南路
北8桥洞	找北8桥柱
出口2	找2号到达口
A9号口	找A9检票口
出口6	找6号到达口
A15检票口	找A15检票口
g口	找G口
全家便利店	找全家便利店
身份证明	办临时身份证
A14检票口	找A14检票口
580服务台	找西门爱心驿站
检票口a13	找A13检票口
南5洞口	找南5桥柱
A5口	找A5检票口
检票口b26	找B26检票口
B5检票口	找B5检票口
d21口	找D21检票口
A1检票口	找A1检票口
15号出口	找15号到达口
a8口	找A8检票口
A8口	找A8检票口
购票	买票
d区	找检票D区
14号口	找14号到达口
检票口c22	找C22检票口
a26口	找A26检票口
西面出站口	找西出站口
出口10	找10号到达口
检票口A17	找A17检票口
北13	找北13桥柱
港澳通行证	人工窗口
A13检票口	找A13检票口
有饭吃	用餐
a18号口	找A18检票口
P6	找p6停车场
A2号口	找A2检票口
C23号口	找C23检票口
b12检票口	找B12检票口
买票	买票
北面的进站口	找北进站口
长途汽车	坐大巴
检票口b24	找B24检票口
临时	办临时身份证
a25号口	找A25检票口
问询处	找问询处
出口9	找9号到达口
a13口	找A13检票口
B1检票口	找B1检票口
地名1,轻轨	坐城轨
B6号口	找B6检票口
检票口C27	找C27检票口
b28	找B28检票口
C27口	找C27检票口
买票	买票
D25检票口	找D25检票口
3号到达口	找3号到达口
3层	坐车
检票口A11	找A11检票口
南,4号桥	找南4桥柱
C25	找C25检票口
2号口	找2号到达口
到达口5	找5号到达口
地名1,候车厅	坐城轨
b21检票口	找B21检票口
A16号口	找A16检票口
A18	找A18检票口
C25号口	找C25检票口
B4	找B4检票口
人工售票	人工窗口
地名,高铁,坐车	坐车
C21检票口	找C21检票口
8号进站口	找8号进站口
d26口	找D26检票口
南站南路	找南站南路
南在哪边	找南边
西门出站口	找西出站口
B20检票口	找B20检票口
上高铁	坐车
B21检票口	找B21检票口
a25	找A25检票口
D区	找检票D区
母婴室	找母婴室
C20号口	找C20检票口
北14桥洞	找北14桥柱
南9	找南9桥柱
检票口a7	找A7检票口
北6	找北6桥柱
到达口27	找27号到达口
西面的爱心驿站	找西门爱心驿站
d28号口	找D28检票口
b24	找B24检票口
北边停车场	找北1停车场
14出口	找14号到达口
b2检票口	找B2检票口
吸烟	找吸烟处
检票口b21	找B21检票口
北4柱	找北4桥柱
到达口8	找8号到达口
B2检票口	找B2检票口
北3洞口	找北3桥柱
1出站口	找1号出站口
东面的进站口	找东进站口
A3检票口	找A3检票口
1进站口	找1号进站口
通行证,续签	找港澳通行证续签机
南7	找南7桥柱
a2检票口	找A2检票口
c22	找C22检票口
P7	找p7停车场
身份证核验	找处理12306账户
检票口c20	找C20检票口
B22检票口	找B22检票口
大巴	坐大巴
出口28	找28号到达口
回乡证	人工窗口
B2口	找B2检票口
动车,坐车	坐车
检票口B22	找B22检票口
d27	找D27检票口
B9检票口	找B9检票口
B27	找B27检票口
10出口	找10号到达口
A10检票口	找A10检票口
买票	买票
d22口	找D22检票口
B6检票口	找B6检票口
a1口	找A1检票口
A24	找A24检票口
12号出口	找12号到达口
a21口	找A21检票口
A19号口	找A19检票口
B26检票口	找B26检票口
b4检票口	找B4检票口
南门	找南门
B3检票口	找B3检票口
人工窗口	人工窗口
北10桥洞	找北10桥柱
检票口A16	找A16检票口
出站口	找出站口
P6	找p6停车场
a5号口	找A5检票口
A24检票口	找A24检票口
南出口	找南门
5号口	找5号到达口
4进站口	找4号进站口
b26	找B26检票口
忘记带身份证	办临时身份证
买票	买票
北10桥墩	找北10桥柱
c28	找C28检票口
吸烟处	找吸烟处
考核证件	找处理12306账户
a27检票口	找A27检票口
A10	找A10检票口
D25口	找D25检票口
北4桥墩	找北4桥柱
动车,坐车	坐车
北4洞口	找北4桥柱
东门出站口	找东出站口
进站口3	找3号进站口
14号口	找14号到达口
东门的爱心驿站	找东门爱心驿站
检票口b14	找B14检票口
5号到达口	找5号到达口
A28口	找A28检票口
检票口B19	找B19检票口
南12桥	找南12桥柱
南10桥洞	找南10桥柱
d20	找D20检票口
南13桥	找南13桥柱
神州租车	找p1停车场
检票口D22	找D22检票口
地名,高铁,上三楼	坐车
a16检票口	找A16检票口
北8洞口	找北8桥柱
北9桥	找北9桥柱
A21号口	找A21检票口
南7桥洞	找南7桥柱
B21	找B21检票口
长途汽车客运站	坐大巴
检票口B1	找B1检票口
北2	找北2桥柱
西进站口	找西进站口
10号口	找10号到达口
a4口	找A4检票口
g口	找G口
8号出口	找8号到达口
坐出租车	坐出租车
北5桥墩	找北5桥柱
b10	找B10检票口
进站	坐车
c27	找C27检票口
b1检票口	找B1检票口
坐车	坐车
订动车票	人工窗口
检票口D20	找D20检票口
16号口	找16号到达口
4号到达口	找4号到达口
检票口B20	找B20检票口
2号进站口	找2号进站口
快速接客区	找p3停车场
订高铁票	人工窗口
B26	找B26检票口
地名4,大巴	坐大巴
b1	找B1检票口
22出口	找22号到达口
A26	找A26检票口
d21检票口	找D21检票口
j入口	找J口
B24号口	找B24检票口
P7停车场	找p7停车场
北入口	找北门
南11桥柱	找南11桥柱
A24检票口	找A24检票口
d25口	找D25检票口
人工窗口	人工窗口
公交车站	坐公交
a8口	找A8检票口
检票口A25	找A25检票口
20出口	找20号到达口
地铁口	坐地铁
a3检票口	找A3检票口
南门的进站口	找南进站口
检票口C25	找C25检票口
B11号口	找B11检票口
南14	找南14桥柱
北2柱	找北2桥柱
南14桥洞	找南14桥柱
P1	找p1停车场
b2检票口	找B2检票口
西面的爱心驿站	找西门爱心驿站
上去,3层	坐车
a18号口	找A18检票口
检票口b16	找B16检票口
南门出站口	找南出站口
检票口A4	找A4检票口
b24口	找B24检票口
10号口	找10号到达口
行李托运,托运	找行李托运
b8号口	找B8检票口
A9号口	找A9检票口
北14	找北14桥柱
8出口	找8号到达口
b14口	找B14检票口
到达口4	找4号到达口
进站口2	找2号进站口
北10洞口	找北10桥柱
行李寄存处	找行李寄存处
车,出站口	找到达口
检票口d23	找D23检票口
P3停车场	找p3停车场
南14桥	找南14桥柱
D23口	找D23检票口
南7桥洞	找南7桥柱
南3桥墩	找南3桥柱
B18检票口	找B18检票口
a16	找A16检票口
